Jahre im Volleyball aktiv  ;Erfahrung mit Jugend-zu-Herren-Übergängen  ;Leistungslücken zwischen Jugend- und Seniorenbereich sind in Ihrem Verein ein Problem?;Mentale/Selbstvertrauensbarrieren bei Übergängen sind in Ihrem Verein ein Problem?;Integration in neue Teamdynamiken ist in Ihrem Verein ein Problem?;Unklare Entwicklungswege zum Herrenbereich sind in Ihrem Verein ein Problem?;Wie lange haben Sie InTeam getestet?; Welche Funktionen habe Sie ausprobiert?;InTeam hilft bei der Identifikation übergangsreifer Spieler?;InTeam hilft beim Setzen realistischer Ziele für den Herrenbereich.;InTeam hilft beim Aufbau von Selbstvertrauen während Übergängen ?;InTeam fördert die Verbindung zwischen Jugend- und Herrenspielern? ( Z.B. durch das Poolsystem, welches Trainings automatisch auffüllt, wenn nicht genug Spieler des eigenen Teams zugesagt haben);InTeam hilft mir, den Übergang zum Herren-Volleyball zu planen.;Ich fand InTeam einfach zu nutzen.;InTeam zeigt mir konkret, was ich für die Transition in  den Herren-Bereich verbessern muss.;  Ihre Rolle im Volleyball  ;InTeam identifiziert übergangsreife Spieler besser als meine Intuition;InTeam unterstützt effektiv bei Entwicklungsgesprächen mit Jugendspielern  ;InTeam erleichtert die Koordination mit Herrentrainern  ;InTeam hilft bei der Kommunikation mit Eltern über Übergänge;Die visuellen Fortschrittsanzeigen helfen Spielern, ihren Entwicklungsweg zu verstehen.;Welcher Prozentsatz Ihrer Übergangs-Entscheidungen wird schätzungsweise von InTeam-Daten in Zukunft beeinflusst werden?;Mein größtes Bedenken bei der InTeam-Implementierung ist:;Wie genau war der Selbsteinschätzungsprozess? (Falls noch kein Feedback vom Trainer oder nicht ausgefüllt bitte überspringen);Das Liga-Level-System hilft mir zu verstehen, wo ich stehe.;InTeam zeigt mir klar, was ich für das Herren Niveau brauche.;Wie haben Sie sich gefühlt, als Sie Ihre Bewertungen zum ersten Mal sahen? (Wenn noch keine Erhalten nicht ausfüllen);InTeam hilft mir, realistische Ziele zu setzen. (Wenn man sich selbst bewertet hat und der Trainer Feedback gegeben hat, kann Trainingsziele auf bestimmte Subattribute setzten [z.B. Top-Spinaufschlag, Timing Annahme von Oben usw.]);InTeam verbessert meine Verbindung zu Herrenspielern. (z.B. durch das Pool-Gastspieler-System);Wie motivierend ist es, Ihren Fortschritt visualisiert zu sehen?  ;InTeam verbessert die Kommunikation mit meinem Trainer?; InTeam macht Übergänge reibungsloser.;InTeam ist geeignet für Amateur-Volleyball-Vereine mit begrenzten Ressourcen.  ;InTeams größter Wert für Übergänge ist:;Ich beabsichtige InTeam zu nutzen  ;Wenn InTeam 1€/Monat pro Nutzer kosten würde, würde Ihr Verein es einführen?;Im Vergleich zu SpielerPlus ist InTeam  was Jugendförderung betrifft;Net Promoter Score: Wie wahrscheinlich würden Sie InTeam weiter empfehlen?  
2-5 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);3;4;3;5;1-2 Monate;Spielerbewertung, Selbsteinschätzungstool, Fortschrittsverfolgung, Zielsetzung, Event-Verwaltung, Teamkommunikation, Liga-Level-System;4;5;3;5;4;5;5;Trainer/Coach;5;5;5;4;5;81-100%;Vereinsakzeptanz;;;;;;;;;4;5;Fortschrittsvisualisierung für Motivation;Durchgehend das ganze Jahr;4;5;10
2-5 Jahre;Unterstütze andere beim Übergang;3;2;2;5;1-2 Monate;Spielerbewertung, Selbsteinschätzungstool, Fortschrittsverfolgung, Zielsetzung, Event-Verwaltung, Teamkommunikation, Liga-Level-System;3;4;4;4;3;5;4;Erwachsener Spieler (20+);;;;;;;;3;5;4;Überrascht - unerwartete Einblicke;5;4;5;5;5;5;Fortschrittsvisualisierung für Motivation;Durchgehend das ganze Jahr;4;5;9
Mehr als 10 Jahre;Beobachte Übergänge im Verein;4;3;4;4;1-2 Monate;Selbsteinschätzungstool, Fortschrittsverfolgung, Zielsetzung, Teamkommunikation;2;2;1;2;2;3;2;Erwachsener Spieler (20+);;;;;;;;2;3;3;Motiviert - klare Verbesserungsbereiche;3;2;3;3;2;5;Entwicklungsplanung über Zeit;Regelmäßig während der Saison;2;3;4
2-5 Jahre;Beobachte Übergänge im Verein;3;2;1;4;1-2 Monate;Selbsteinschätzungstool, Fortschrittsverfolgung;4;4;4;4;4;5;4;Jugendspieler (U18);;;;;;;;5;4;4;Motiviert - klare Verbesserungsbereiche;3;4;3;4;5;5;Zielsetzung für Herren-Level;Regelmäßig während der Saison;2;4;7
2-5 Jahre;Durchlaufe gerade den Übergang;2;1;2;3;1-2 Monate;Selbsteinschätzungstool, Zielsetzung, Teamkommunikation, Liga-Level-System;4;5;3;3;3;4;4;Jugendspieler (U18);;;;;;;;4;4;4;;4;2;4;3;3;5;Entwicklungsplanung über Zeit;Durchgehend das ganze Jahr;3;4;8
2-5 Jahre;Beobachte Übergänge im Verein;2;3;1;4;1-2 Monate;Spielerbewertung, Selbsteinschätzungstool;5;4;3;4;2;4;4;Jugendspieler (U18);;;;;;;;4;5;3;Motiviert - klare Verbesserungsbereiche;2;3;2;4;4;4;Entwicklungsplanung über Zeit;Durchgehend das ganze Jahr;3;5;8
Weniger als 2 Jahre;Durchlaufe gerade den Übergang;3;2;1;3;1-2 Monate;Event-Verwaltung;4;4;3;5;3;5;4;Jugendspieler (U18);;;;;;;;;4;4;;3;5;5;4;5;5;Entwicklungsplanung über Zeit;Durchgehend das ganze Jahr;3;4;4
2-5 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);2;3;2;4;2-4 Wochen;Selbsteinschätzungstool, Zielsetzung, Event-Verwaltung;3;3;2;3;3;4;3;Jugendspieler (U20);;;;;;;;4;2;2;Bestätigt - etwa wie erwartet;4;2;3;2;2;4;Entwicklungsplanung über Zeit;Gelegentlich;3;4;7
Weniger als 2 Jahre;Durchlaufe gerade den Übergang;1;1;2;1;1-2 Monate;Selbsteinschätzungstool;3;4;3;4;2;3;4;Jugendspieler (U16);;;;;;;;5;5;4;Bestätigt - etwa wie erwartet;4;4;5;4;4;3;Fortschrittsvisualisierung für Motivation;Durchgehend das ganze Jahr;3;4;9
2-5 Jahre;Beobachte Übergänge im Verein;2;1;1;2;1-2 Monate;Selbsteinschätzungstool, Event-Verwaltung;4;4;4;4;5;5;5;Jugendspieler (U20);;;;;;;;4;4;3;Bestätigt - etwa wie erwartet;4;3;5;3;4;5;Fortschrittsvisualisierung für Motivation;Durchgehend das ganze Jahr;5;4;9
2-5 Jahre;Keine direkte Erfahrung;1;4;1;1;1-2 Monate;Selbsteinschätzungstool, Zielsetzung, Event-Verwaltung, Teamkommunikation;4;4;3;4;3;4;3;Erwachsener Spieler (20+);;;;;;;;;4;5;;4;5;5;5;4;5;Kommunikation zwischen Stakeholdern;Durchgehend das ganze Jahr;5;5;8
Mehr als 10 Jahre;Beobachte Übergänge im Verein;3;4;5;3;2-4 Wochen;Selbsteinschätzungstool;3;3;3;3;3;3;3;Erwachsener Spieler (20+);;;;;;;;4;3;3;;3;3;3;3;3;5;Verbindung zwischen Altersgruppen;Regelmäßig während der Saison;3;4;7
Weniger als 2 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);2;1;2;2;1-2 Monate;Teamkommunikation;3;3;3;4;4;5;2;Jugendspieler (U20);;;;;;;;;3;3;;3;3;3;4;3;5;Kommunikation zwischen Stakeholdern;Regelmäßig während der Saison;3;3;7
Mehr als 10 Jahre;Unterstütze andere beim Übergang;3;4;4;5;2-4 Wochen;Event-Verwaltung;2;3;3;4;1;2;2;Erwachsener Spieler (20+);;;;;;;;;3;3;;3;4;2;3;5;4;Verbindung zwischen Altersgruppen;Gelegentlich;2;4;3
Weniger als 2 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);1;1;1;2;2-4 Wochen;Spielerbewertung, Selbsteinschätzungstool, Fortschrittsverfolgung, Zielsetzung, Event-Verwaltung, Liga-Level-System;5;5;5;4;5;4;4;Jugendspieler (U20);;;;;;;;5;5;5;;4;3;5;4;5;5;Fortschrittsvisualisierung für Motivation;Durchgehend das ganze Jahr;3;5;8
Weniger als 2 Jahre;Durchlaufe gerade den Übergang;2;2;1;2;2-4 Wochen;Spielerbewertung, Selbsteinschätzungstool, Event-Verwaltung;4;4;3;4;4;5;3;Jugendspieler (U20);;;;;;;;3;5;4;;4;3;5;3;4;5;Kommunikation zwischen Stakeholdern;Gelegentlich;3;5;9
Mehr als 10 Jahre;Unterstütze andere beim Übergang;1;1;1;1;1-2 Monate;Selbsteinschätzungstool, Event-Verwaltung, Teamkommunikation;4;4;4;4;5;5;3;Erwachsener Spieler (20+);;;;;;;;4;3;4;Bestätigt - etwa wie erwartet;3;3;5;3;3;4;Entwicklungsplanung über Zeit;Durchgehend das ganze Jahr;4;5;5
Weniger als 2 Jahre;Keine direkte Erfahrung;3;3;2;4;2-4 Wochen;Spielerbewertung, Selbsteinschätzungstool, Fortschrittsverfolgung, Zielsetzung, Event-Verwaltung, Teamkommunikation, Liga-Level-System;4;4;3;3;2;4;4;Jugendspieler (U18);;;;;;;;5;4;5;Motiviert - klare Verbesserungsbereiche;5;3;4;3;3;3;Zielsetzung für Herren-Level;Durchgehend das ganze Jahr;3;5;8
5-10 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);3;2;2;5;2-4 Wochen;Event-Verwaltung, Teamkommunikation;1;1;1;3;2;5;3;Erwachsener Spieler (20+);;;;;;;;;3;3;;3;3;5;4;3;5;Zielsetzung für Herren-Level;Regelmäßig während der Saison;2;4;10
5-10 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);2;2;3;2;2-4 Wochen;Event-Verwaltung, Teamkommunikation;3;2;3;5;4;5;2;Jugendspieler (U20);;;;;;;;;3;3;;3;2;4;4;4;5;Zielsetzung für Herren-Level;Durchgehend das ganze Jahr;2;4;10
5-10 Jahre;Beobachte Übergänge im Verein;2;3;2;2;Weniger als 1 Woche;Event-Verwaltung;3;4;3;5;3;4;3;Erwachsener Spieler (20+);;;;;;;;;3;3;;3;3;3;1;3;5;Zielsetzung für Herren-Level;Regelmäßig während der Saison;3;4;7
Weniger als 2 Jahre;Durchlaufe gerade den Übergang;1;2;1;2;1-2 Wochen;Selbsteinschätzungstool, Fortschrittsverfolgung, Zielsetzung, Teamkommunikation;5;3;2;3;5;5;5;Jugendspieler (U20);;;;;;;;3;4;3;;5;3;5;5;3;3;Fortschrittsvisualisierung für Motivation;Regelmäßig während der Saison;3;5;7
5-10 Jahre;Beobachte Übergänge im Verein;2;4;3;5;Weniger als 1 Woche;Spielerbewertung, Event-Verwaltung;3;3;3;4;4;4;3;Erwachsener Spieler (20+);;;;;;;;;4;3;;4;3;4;3;3;5;Kommunikation zwischen Stakeholdern;Durchgehend das ganze Jahr;5;5;8
Weniger als 2 Jahre;Durchlaufe gerade den Übergang;1;1;1;3;2-4 Wochen;Event-Verwaltung, Teamkommunikation;2;3;3;5;4;5;2;Jugendspieler (U20);;;;;;;;;3;2;;3;4;4;4;3;5;Verbindung zwischen Altersgruppen;Regelmäßig während der Saison;5;4;8
2-5 Jahre;Keine direkte Erfahrung;2;2;3;2;1-2 Wochen;Selbsteinschätzungstool;2;3;3;3;3;2;2;Jugendspieler (U18);;;;;;;;;2;3;;4;3;5;3;3;3;Zielsetzung für Herren-Level;Gelegentlich;2;4;7
Weniger als 2 Jahre;Keine direkte Erfahrung;3;4;4;4;1-2 Monate;Spielerbewertung;3;3;3;3;2;4;2;Jugendspieler (U18);;;;;;;;4;4;3;Bestätigt - etwa wie erwartet;3;2;5;3;2;4;Fortschrittsvisualisierung für Motivation;Regelmäßig während der Saison;3;5;7
Weniger als 2 Jahre;Keine direkte Erfahrung;3;2;2;3;Weniger als 1 Woche;Zielsetzung;4;4;2;2;3;5;3;Jugendspieler (U18);;;;;;;;;3;3;;3;2;3;2;3;4;Zielsetzung für Herren-Level;Gelegentlich;3;3;6
5-10 Jahre;Durchlaufe gerade den Übergang;3;4;3;2;1-2 Wochen;Spielerbewertung, Zielsetzung;2;3;3;4;3;3;3;Jugendspieler (U18);;;;;;;;3;3;4;Überrascht - unerwartete Einblicke;3;3;3;3;4;4;Objektive Übergangs-Readiness-Bewertung;Nie;3;3;5
Mehr als 10 Jahre;Beobachte Übergänge im Verein;3;3;3;4;Weniger als 1 Woche;Zielsetzung;5;5;4;4;2;2;2;Trainer/Coach;3;5;5;5;5;41-60%;Spielerwiderstand;;;;;;;;;5;5;Verbindung zwischen Altersgruppen;Regelmäßig während der Saison;3;4;10
2-5 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);1;2;2;4;1-2 Monate;Teamkommunikation;3;4;3;4;3;5;4;Jugendspieler (U20);;;;;;;;;3;3;;3;3;4;3;3;4;Fortschrittsvisualisierung für Motivation;Durchgehend das ganze Jahr;3;4;9
2-5 Jahre;Keine direkte Erfahrung;2;4;2;4;2-4 Wochen;Selbsteinschätzungstool;4;4;3;2;3;5;3;Erwachsener Spieler (20+);;;;;;;;;4;4;;4;2;4;2;3;5;Kommunikation zwischen Stakeholdern;Regelmäßig während der Saison;3;5;8
2-5 Jahre;Erfolgreich übergegangen (letzten 2 Jahre);2;2;1;1;2-4 Wochen;Selbsteinschätzungstool, Fortschrittsverfolgung, Liga-Level-System;4;4;3;4;4;5;4;Jugendspieler (U20);;;;;;;;4;4;3;Motiviert - klare Verbesserungsbereiche;4;3;4;3;3;5;Entwicklungsplanung über Zeit;Regelmäßig während der Saison;2;4;8
Weniger als 2 Jahre;Keine direkte Erfahrung;1;1;3;3;1-2 Monate;Event-Verwaltung;4;4;4;3;4;5;4;Jugendspieler (U18);;;;;;;;;3;3;;4;3;4;4;4;5;Entwicklungsplanung über Zeit;Regelmäßig während der Saison;4;4;9
Weniger als 2 Jahre;Keine direkte Erfahrung;1;1;1;3;Weniger als 1 Woche;Selbsteinschätzungstool;4;4;3;5;3;4;5;Erwachsener Spieler (20+);;;;;;;;;4;3;;4;5;5;3;4;5;Verbindung zwischen Altersgruppen;Durchgehend das ganze Jahr;4;5;8
Weniger als 2 Jahre;Keine direkte Erfahrung;3;3;1;4;2-4 Wochen;Selbsteinschätzungstool, Teamkommunikation;3;4;3;4;3;4;4;Jugendspieler (U20);;;;;;;;3;4;3;Verwirrt - Bewertungen nicht verstanden;3;2;2;2;3;4;Verbindung zwischen Altersgruppen;Durchgehend das ganze Jahr;3;3;6
Weniger als 2 Jahre;Durchlaufe gerade den Übergang;2;3;1;1;1-2 Monate;Spielerbewertung, Selbsteinschätzungstool, Event-Verwaltung;3;4;3;4;3;5;5;Jugendspieler (U20);;;;;;;;5;4;5;Motiviert - klare Verbesserungsbereiche;4;4;4;4;3;4;Verbindung zwischen Altersgruppen;Durchgehend das ganze Jahr;4;5;7
Mehr als 10 Jahre;Beobachte Übergänge im Verein;2;2;1;4;1-2 Monate;Teamkommunikation;4;4;3;3;3;5;4;Erwachsener Spieler (20+);;;;;;;;4;4;4;Bestätigt - etwa wie erwartet;4;4;5;3;4;5;Fortschrittsvisualisierung für Motivation;Regelmäßig während der Saison;3;4;8
Mehr als 10 Jahre;Unterstütze andere beim Übergang;4;2;3;4;1-2 Monate;Event-Verwaltung;3;2;2;4;3;4;1;Trainer/Coach;3;2;4;1;2;21-40%;Bedenken zur Datengenauigkeit;;;;;;;;;3;4;Verbindung zwischen Altersgruppen;Durchgehend das ganze Jahr;2;3;9
2-5 Jahre;Keine direkte Erfahrung;1;1;1;1;1-2 Wochen;Teamkommunikation;4;5;3;5;4;5;3;Jugendspieler (U18);;;;;;;;3;3;3;Motiviert - klare Verbesserungsbereiche;5;3;4;5;4;5;Kommunikation zwischen Stakeholdern;Durchgehend das ganze Jahr;3;4;8
;;;;;;;;;;;3,769230769;3,230769231;;;;;;;;;;;;;;;;3,138888889;;;;;;;;;
